"","FID","Join_Count","TARGET_FID","Field1","barcode","stratum","lcode","sdate","utm_e","utm_n","snag","OBJECTID","uniq_id","aa_num","AQUA_CODE","AQUA_DESC","pool","Area","Perimeter","bath_pct","max_depth","avg_depth","sd_depth","tot_vol","area_gt50","area_gt100","area_gt200","area_gt300","avg_fetch","shoreline_density_index","econ","sill","min_rm","max_rm","len_met","len_prm_lotic","pct_prm_lotic","num_lotic_outl","len_prm_lentic","pct_prm_lentic","num_lentic_outl","pct_aqveg","pct_opwat","len_terr","pct_terr","pct_aq","len_wetf","pct_prm_wetf","pct_terr_shore_wetf","len_wd","wdl_p_m2","num_wd","scour_wd","psco_wd","len_revln","rev_p_m2","num_rev","pct_terr_shore_rev","pct_prm_rev","area_tpi1","pct_tpi1","area_tpi2","pct_tpi2","area_tpi3","pct_tpi3","area_tpi4","pct_tpi4","sinuosity","year_phot","RIVER_MILE","NEAR_TERR_FID.p","NEAR_TERR_DIST.p","NEAR_TERR_CLASS_31.p","NEAR_TERR_CLASS_15.p","NEAR_TERR_CLASS_7.p","NEAR_TERR_CLASS_31_N.p","NEAR_TERR_CLASS_15_N.p","NEAR_TERR_CLASS_7_N.p","NEAR_TERR_HEIGHT_N.p","NEAR_FOREST_FID.p","NEAR_FOREST_DIST.p","NEAR_FOREST_CLASS_31.p","NEAR_FOREST_CLASS_15.p","NEAR_FOREST_CLASS_7.p","NEAR_FOREST_CLASS_31_N.p","NEAR_FOREST_CLASS_15_N.p","NEAR_FOREST_CLASS_7_N.p","NEAR_FOREST_HEIGHT_N.p","year.p","sitetype.p","depth.p","current.p","gear.p","stageht.p","substrt.p","wingdyke.p","riprap.p","trib.p","snagyn","area_le50","area_le100","area_le200","area_le300","pct_area_le100","pct_area_le50","pct_area_le200","pct_area_le300","stratum_name"
"1",83,1,83,2525,12008125,"BWC-S","F39A.RS","10/28/2015 0:00:00",640720,4841100,1,2396,"P08_CFL_96",2396,"CFL","Contiguous Floodplain Lake","8",85475.521045,3194.12165039,64.9016225017,3.34,0.526882572227,0.339410873579,27471,26148.7008537,2930.17152617,391.336069878,12.4222245417,0.165318765859,3.08195038087,50.6904066776,0,689.909851074,690.232849121,519.813676959,615.956753783,19.2840730943,2,0,0,0,91.7626644345,8.2373355655,2578.16489661,80.7159269058,19.2840730942,332.506533275,10.4099520829,12.8970235268,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,690,4980,0,"Dmp","Dm","Ma","Deep marsh perennial","Deep marsh","Marsh"," ",2283,37.6945532935,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2015,"1",0.8,0,"D",NA,"2","0","0","0","yes",59326.8201913,82545.34951883,85084.184975122,85463.0988204583,0.965719173275032,0.694079655391237,0.995421659147629,0.999854669215352,"Backwater, Contiguous Shoreline"
"2",101,1,101,3137,12005460,"IMP-S","D19.RS","8/8/2005 0:00:00",643420,4828500,0,2638,"P08_CFL_339",2638,"CFL","Contiguous Floodplain Lake","8",471663.493797,5468.12531029,98.9794644147,7.57,1.89763727476,1.49428665065,882736,451998.78467,291825.744202,149655.719471,91239.452261,2.08653967206,2.24603952693,15.0688706533,0,680.309875488,682.02947998,2767.42829316,2752.91623178,50.3447905007,2,0,0,0,63.923958409,36.076041591,2715.20907852,49.6552094995,50.3447905005,315.287805935,5.76592137239,11.6119163135,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,681,6132,25.0605151318,"Rd","RdLv","GrFb","Roadside","Road/levee","Grass/forbs"," ",1947,747.790565032,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2005,"0",1.9,0,"D",NA,"3","0","0","0","no",19664.709127,179837.749595,322007.774326,380424.041536,0.38128401277628,0.0416922432743194,0.682706587558352,0.806558163900917,"Impounded--Shoreline"
"3",108,1,108,3409,12007454,"BWC-S","D20.RS","9/18/2013 0:00:00",641070,4839349,0,2349,"P08_CFL_49",2349,"CFL","Contiguous Floodplain Lake","8",6497.65253563,333.330606741,96.9580931799,0.77,0.540806451613,0.118110778879,3273,4082.07633833,0,0,0,0.679066262249,1.16651954367,0,0,689.045166016,689.101196289,90.1717595497,183.668640906,55.101042986,1,67.1092564936,20.1329416311,1,100,0,82.5527093447,24.7660153839,75.2339846161,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,689,7705,0.0950451736443,"Wm","Wm","Ma","Wet meadow","Wet meadow","Marsh"," ",1940,720.29302108,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest","20-50 feet",2013,"0",1.2,0.18,"D",NA,"3","0","0","0","no",2415.5761973,6497.65253563,6497.65253563,6497.65253563,1,0.371761368287107,1,1,"Backwater, Contiguous Shoreline"
"4",109,1,109,3464,12001159,"SCB","D5.RS","10/24/1994 0:00:00",642220,4844600,0,2498,"P08_CFL_198",2498,"CFL","Contiguous Floodplain Lake","8",37217.2170383,1929.41507056,85.0412860463,2.45,0.686271585557,0.408362343749,21388,20018.407502,5133.67118722,380.999207963,0,0.233504592516,2.82129687052,21.2854476877,0,692.316223145,692.730163574,666.170890007,467.070830521,24.2078979089,2,0,0,0,100,0,1462.34424004,75.7921020911,24.2078979089,518.952259123,26.8968697841,35.4876946832,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,692,7980,0,"Wm","Wm","Ma","Wet meadow","Wet meadow","Marsh"," ",2112,96.2428632387,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",1994,"0",0.5,0.79,"D",NA,"2","0","0","0","no",17198.8095363,32083.54585108,36836.217830337,37217.2170383,0.862061927361818,0.462119709773055,0.989762823814287,1,"Side Channel Border"
"5",112,1,112,3630,12002490,"MCB-W","M699.5E","7/17/1997 0:00:00",638518,4854005,0,3934,"P08_SCB_30",30,"SCB","Structured Channel Border","8",141612.513455,3463.37631907,94.9598285626,11.19,2.71125876777,1.4537578983,357547.25,129036.490087,121566.708393,87915.0726469,48014.9704064,NA,2.59623461248,NA,NA,698.657531738,699.766723633,1785.0668843,NA,NA,NA,0,0,0,0,100,1514.25774485,43.7220101238,56.2779898762,396.179344829,11.4391076317,26.1632701683,937.184048853,0.00661794657822,7,4,57.1428571429,762.130204116,0.00538179985315,3,50.3302827216,42.6947701971,3442,2.43057616592,106924,75.5046269509,11774,8.31423700685,15695,11.0830601174,0.0472241609089,2010,699,5349,53.9710000318,"Dv","Dv","Dv","Developed","Developed","Developed"," ",2482,184.590202494,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",1997,"0",2,0.36,"D",7,"3","1","0","0","no",12576.023368,20045.805062,53697.4408081,93597.5430486,0.141553910547389,0.0888058764100411,0.379185705401404,0.660941189200362,"Main Channel Border--Wing Dam Area"
"6",119,1,119,4075,12001010,"IMP-S","D22.RS","9/23/1994 0:00:00",643470,4832300,1,2648,"P08_CFL_349",2648,"CFL","Contiguous Floodplain Lake","8",2421704.0942,8523.80374972,99.7582655035,7.89,1.35822287475,0.830963278677,3248158,2266484.41922,1614419.17587,317065.93829,108864.720763,2.48374428806,1.54514048658,60.1547687401,54762.4745381,683.498046875,685.593505859,3372.30596131,3745.26495001,43.9388923065,3,1197.08302949,14.0440003623,6,51.019362522,48.980637478,3581.45569669,42.0171064685,57.9828935315,868.657010116,10.1909550668,24.25430003,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,683,6133,30.431345,"Rd","RdLv","GrFb","Roadside","Road/levee","Grass/forbs"," ",2691,1066.24498054,"SxCm","WtFo","Fo","Salix community","Wet forest","Forest","20-50 feet",1994,"0",1.1,0.17,"D",NA,"1","0","1","0","yes",155219.67498,807284.91833,2104638.15591,2312839.373437,0.333354070905464,0.0640952275514389,0.869073212103256,0.955046233342987,"Impounded--Shoreline"
"7",123,1,123,4288,12007456,"SCB","D10.RS","9/19/2013 0:00:00",641520,4843649,0,2472,"P08_CFL_172",2472,"CFL","Contiguous Floodplain Lake","8",24264.980402,1946.00281034,66.2477353523,1.57,0.261577287066,0.189358133445,3885,1154.44121456,334.608690708,0,0,0.0435096452653,3.52410272199,47.1652663947,0,691.691833496,691.940795898,400.665152035,173.171558647,8.89883394448,4,0,0,0,97.7402306692,2.2597693308,1772.83125167,91.1011660543,8.89883394566,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,691,7925,8.01899046423,"Wm","Wm","Ma","Wet meadow","Wet meadow","Marsh"," ",2088,165.329651641,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2013,"0",0.2,NA,"D",NA,NA,"0","0","0","no",23110.53918744,23930.371711292,24264.980402,24264.980402,0.986210222091075,0.952423566991019,1,1,"Side Channel Border"
"8",147,1,147,5016,12005829,"BWC-S","D15.RS","10/30/2006 0:00:00",641420,4841000,0,2404,"P08_CFL_104",2404,"CFL","Contiguous Floodplain Lake","8",76206.903271,3343.83853756,77.847278204,1.19,0.381870355078,0.234158037435,22177,6675.81200189,3101.32391838,0,0,0.369280993908,3.41698608235,17.8220399897,0,689.911193848,690.339233398,688.861169397,930.855096157,27.8379199743,1,0,0,0,95.4922245364,4.5077754636,2412.9834414,72.1620800256,27.8379199744,661.321508719,19.777315839,27.4067984625,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,690,4985,0,"Dmp","Dm","Ma","Deep marsh perennial","Deep marsh","Marsh"," ",1950,219.325836457,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2006,"0",1,0,"D",NA,"2","0","0","0","no",69531.09126911,73105.57935262,76206.903271,76206.903271,0.959303897871937,0.912398854757946,1,1,"Backwater, Contiguous Shoreline"
"9",148,1,148,5032,12002791,"MCB-U","D3.RS","9/25/1997 0:00:00",639570,4850100,1,3933,"P08_SCB_29",29,"SCB","Structured Channel Border","8",455920.349803,7479.82926233,92.9109657384,10.73,2.65772430718,1.78380240811,1110065,389956.600232,339988.427459,230265.5624,154740.233578,NA,3.12494417925,NA,NA,696.199157715,698.322509766,3417.19538976,NA,NA,NA,123.523624825,1.65142305383,2,3.10467366813,96.8953263319,3182.12738139,42.5427809885,57.4572190115,1289.79864832,17.2436910401,40.5325901114,972.859742328,0.0021338370677,12,5,41.6666666667,2238.07635812,0.00490891963714,5,70.3327079616,65.4945387327,5355,1.17454726518,360983,79.1767685202,16931,3.71358725429,46436,10.185112382,0.0580660422698,2010,696,8185,44.3842246739,"Wm","Wm","Ma","Wet meadow","Wet meadow","Marsh"," ",2440,110.33427287,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",1997,"0",1.8,0.14,"D",5.7,"3","1","0","0","yes",65963.749571,115931.922344,225654.787403,301180.116225,0.254281087462083,0.144682617478036,0.494943442424765,0.660598098670388,"Main Channel Border--Unstructured"
"10",158,1,158,5429,12005645,"SCB","D5.RS","10/26/2005 0:00:00",640920,4845450,0,2520,"P08_CFL_220",2520,"CFL","Contiguous Floodplain Lake","8",22606.228502,1361.88804611,77.4122936891,1.42,0.417677793904,0.302373015414,6937,4857.29389543,948.38135105,0,0,0.150366706161,2.55518541348,0,0,692.869995117,693.145996094,444.179412325,376.602346835,27.6529592804,1,0,0,0,94.054413488,5.945586512,985.285699266,72.347040719,27.652959281,415.188731844,30.486260088,42.1389178949,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,693,6492,8.81881052836,"SxCm","WtFo","Fo","Salix community","Wet forest","Forest","20-50 feet",2733,8.81881052836,"SxCm","WtFo","Fo","Salix community","Wet forest","Forest","20-50 feet",2005,"0",0.5,0,"D",NA,"2","0","0","0","no",17748.93460657,21657.84715095,22606.228502,22606.228502,0.958047785327566,0.785134707675795,1,1,"Side Channel Border"
